,condition,comprehension_q,wealthy_family_essential,educated_parents_essential,having_ambition_essential,hard_work_essential,talent_essential,luck_essential,connections_essential,good_education_essential,political_influence_essential,enough_opportunities,more_opportunities_than_parents,hard_work_brings_better_life,people_poor_because_laziness,high_earners_deserve_high,low_earners_deserve_low,ineq_serious_problem,poverty_serious_problem,unequal_hcare_serious_problem,ineq_increasing,govt_regulation_effective,govt_transfers_effective,progressive_taxes_effective,educ_policies_effective,private_charity_effective,govt_should_decrease_ineq,companies_should_decrease_ineq,who_most_responsible,is_resident,state,gender,age,married,has_children,race,religion,education,emp_status,occupation,household_income,subj_relative_income,income_volatile,sol_better_than_past,sol_better_in_future,liberal,political_party,follow_news,has_confidence_in_science,father_occ,mother_occ,father_educ,mother_educ,subj_relative_income_16_yrs,sol_better_than_parents,coronavirus_serious_threat,must_save_economy,satisfied_with_city,satisfied_with_state,satisfied_with_federal_govt,self_became_ill,family_member_became_ill,self_lost_income,family_member_lost_income,self_at_risk,family_member_at_risk,not_affected,affected_in_other_way,how_affected_by_coronavirus_other,days_out_in_past_week,opinion_q_DO,DS_regular_or_reverse,EO_regular_or_reverse,LHW_regular_or_reverse,ED_regular_or_reverse,ISP_regular_or_reverse,GT_regular_or_reverse,GMC_regular_or_reverse,Demog_end_regular_or_reverse,Parents_end_regular_or_reverse,Corona_regular_or_reverse,GMC.3_DO,DQ18_DO
2686,corona_natural_ineq,It informed the viewer that Covid-19 affects elderly and people with underlying conditions more.,3.0,4.0,4.0,5.0,4.0,3.0,4.0,5.0,3.0,2.0,3.0,5.0,4.0,3.0,3.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,5.0,3.0,4.0,4.0,5.0,1,Georgia,2,33,1,1,1,10,6,6,Homemaker ,12.0,5.0,1.0,5.0,5.0,3.0,3.0,3.0,3.0,Academic space planning ,Receptionist ,9,7,3.0,5.0,3.0,3.0,2.0,2.0,2.0,0,0,0,1,0,0,0,0,,6.0,"['educ_policies_effective', 'private_charity_effective', 'govt_regulation_effective', 'progressive_taxes_effective', 'govt_transfers_effective', 'companies_should_decrease_ineq', 'govt_should_decrease_ineq', 'who_most_responsible', 'hard_work_brings_better_life', 'people_poor_because_laziness', '', 'having_ambition_essential', 'luck_essential', 'political_influence_essential', 'connections_essential', 'talent_essential', 'good_education_essential', 'hard_work_essential', 'wealthy_family_essential', 'educated_parents_essential', 'ineq_serious_problem', 'unequal_hcare_serious_problem', 'poverty_serious_problem', 'ineq_increasing', 'high_earners_deserve_high', 'low_earners_deserve_low', 'enough_opportunities', 'more_opportunities_than_parents']",DS,EO,LHW,ED_Reverse,ISP_Reverse,GT,GMC,Demographics_End,Parents_End_Reverse,Coronavirus,Low income individuals themselves|High income individuals themselves|Major companies|Government|Private charities|Income differences do not need to be reduced,Democrat|Republican|Independent|None
2687,corona_class_ineq,Minorities being greatly affected by the coronavirus,3.0,2.0,5.0,4.0,4.0,2.0,3.0,4.0,2.0,3.0,3.0,6.0,4.0,3.0,3.0,5.0,5.0,5.0,3.0,3.0,4.0,3.0,4.0,1.0,5.0,3.0,6.0,1,New York,2,42,1,0,1,2,3,1,Owner of a dog walking company ,9.0,4.0,1.0,4.0,5.0,3.0,4.0,4.0,3.0,Owner operator trucking co,Hairdresser amongst other jobs ,3,3,2.0,4.0,3.0,3.0,2.0,3.0,2.0,0,0,0,0,0,0,1,0,,7.0,"['companies_should_decrease_ineq', 'govt_should_decrease_ineq', 'who_most_responsible', 'govt_transfers_effective', 'educ_policies_effective', 'progressive_taxes_effective', 'private_charity_effective', 'govt_regulation_effective', 'more_opportunities_than_parents', 'enough_opportunities', 'hard_work_brings_better_life', 'people_poor_because_laziness', 'poverty_serious_problem', 'unequal_hcare_serious_problem', 'ineq_serious_problem', 'ineq_increasing', 'low_earners_deserve_low', 'high_earners_deserve_high', '', 'political_influence_essential', 'good_education_essential', 'hard_work_essential', 'educated_parents_essential', 'talent_essential', 'connections_essential', 'luck_essential', 'wealthy_family_essential', 'having_ambition_essential']",DS_Reverse,EO,LHW,ED_Reverse,ISP_Reverse,GT,GMC_Reverse,Demographics_End_Reverse,Parents_End_Reverse,Coronavirus,Government|Low income individuals themselves|Major companies|High income individuals themselves|Private charities|Income differences do not need to be reduced,Democrat|Republican|Independent|None
2689,corona_control,Excellent and perfect like news of COVID 19,4.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,2.0,3.0,2.0,2.0,4.0,4.0,4.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,7.0,6.0,5.0,1,California,1,37,1,1,1,1,7,1,Finance,10.0,4.0,3.0,5.0,5.0,5.0,1.0,5.0,3.0,Finance service,Finance security,7,7,4.0,5.0,5.0,1.0,4.0,4.0,4.0,0,0,1,0,0,0,0,0,,1.0,"['companies_should_decrease_ineq', 'govt_should_decrease_ineq', 'who_most_responsible', 'govt_regulation_effective', 'educ_policies_effective', 'private_charity_effective', 'govt_transfers_effective', 'progressive_taxes_effective', 'high_earners_deserve_high', 'low_earners_deserve_low', '', 'educated_parents_essential', 'hard_work_essential', 'political_influence_essential', 'having_ambition_essential', 'talent_essential', 'luck_essential', 'good_education_essential', 'connections_essential', 'wealthy_family_essential', 'people_poor_because_laziness', 'hard_work_brings_better_life', 'ineq_serious_problem', 'poverty_serious_problem', 'unequal_hcare_serious_problem', 'ineq_increasing', 'more_opportunities_than_parents', 'enough_opportunities']",DS_Reverse,EO,LHW,ED,ISP,GT,GMC_Reverse,Demographics_End_Reverse,Parents_End,Coronavirus,Low income individuals themselves|Major companies|High income individuals themselves|Government|Private charities|Income differences do not need to be reduced,Republican|Democrat|Independent|None
2692,corona_class_ineq,Higher number of Covid cases in poor and minotity communitirs,5.0,2.0,4.0,3.0,5.0,5.0,5.0,3.0,4.0,2.0,1.0,2.0,4.0,2.0,2.0,3.0,3.0,4.0,3.0,1.0,3.0,3.0,3.0,2.0,3.0,3.0,6.0,1,Illinois,2,54,1,0,1,10,4,1,Software QA,8.0,3.0,1.0,2.0,2.0,3.0,3.0,2.0,3.0,Business owner,Bookeeper,6,3,4.0,2.0,5.0,4.0,3.0,2.0,1.0,0,0,0,0,1,0,0,0,,2.0,"['govt_should_decrease_ineq', 'companies_should_decrease_ineq', 'who_most_responsible', 'govt_transfers_effective', 'private_charity_effective', 'progressive_taxes_effective', 'govt_regulation_effective', 'educ_policies_effective', 'low_earners_deserve_low', 'high_earners_deserve_high', '', 'hard_work_essential', 'good_education_essential', 'political_influence_essential', 'having_ambition_essential', 'connections_essential', 'talent_essential', 'luck_essential', 'educated_parents_essential', 'wealthy_family_essential', 'enough_opportunities', 'more_opportunities_than_parents', 'people_poor_because_laziness', 'hard_work_brings_better_life', 'ineq_serious_problem', 'unequal_hcare_serious_problem', 'poverty_serious_problem', 'ineq_increasing']",DS_Reverse,EO,LHW_Reverse,ED_Reverse,ISP,GT,GMC,Demographics_End,Parents_End_Reverse,Coronavirus_Reverse,Government|Low income individuals themselves|High income individuals themselves|Major companies|Private charities|Income differences do not need to be reduced,Democrat|Republican|Independent|None
2693,corona_class_ineq,disporportionate financial ramifications to differing racial groups from coronavirus,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,2.0,1.0,4.0,2.0,2.0,1.0,5.0,5.0,5.0,3.0,3.0,3.0,5.0,2.0,3.0,7.0,7.0,6.0,1,Minnesota,2,36,1,1,1,10,6,3,grant writer,8.0,3.0,2.0,4.0,3.0,5.0,2.0,4.0,3.0,sales,social work,7,6,2.0,2.0,4.0,1.0,3.0,5.0,1.0,0,0,0,0,1,1,0,0,,1.0,"['govt_regulation_effective', 'govt_transfers_effective', 'private_charity_effective', 'educ_policies_effective', 'progressive_taxes_effective', 'govt_should_decrease_ineq', 'companies_should_decrease_ineq', 'who_most_responsible', 'hard_work_brings_better_life', 'people_poor_because_laziness', '', 'wealthy_family_essential', 'political_influence_essential', 'educated_parents_essential', 'good_education_essential', 'talent_essential', 'luck_essential', 'having_ambition_essential', 'connections_essential', 'hard_work_essential', 'more_opportunities_than_parents', 'enough_opportunities', 'high_earners_deserve_high', 'low_earners_deserve_low', 'poverty_serious_problem', 'unequal_hcare_serious_problem', 'ineq_serious_problem', 'ineq_increasing']",DS,EO_Reverse,LHW,ED,ISP,GT,GMC_Reverse,Demographics_End_Reverse,Parents_End_Reverse,Coronavirus_Reverse,Major companies|Low income individuals themselves|Private charities|Government|High income individuals themselves|Income differences do not need to be reduced,Democrat|Republican|Independent|None
2695,corona_control,the  cronvis  virus and how it has spread,2.0,3.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,3.0,3.0,7.0,1.0,1.0,1.0,5.0,5.0,4.0,3.0,5.0,4.0,3.0,3.0,5.0,5.0,4.0,6.0,1,Kentucky,1,39,1,1,1,1,6,1,teacher,8.0,3.0,1.0,4.0,4.0,1.0,2.0,5.0,2.0,a line man he worked for an electric company,she worked in a speaker factory,3,3,3.0,4.0,5.0,1.0,5.0,5.0,5.0,0,0,0,0,0,0,1,0,,0.0,"['people_poor_because_laziness', 'hard_work_brings_better_life', 'more_opportunities_than_parents', 'enough_opportunities', 'low_earners_deserve_low', 'high_earners_deserve_high', 'unequal_hcare_serious_problem', 'poverty_serious_problem', 'ineq_serious_problem', 'ineq_increasing', '', 'wealthy_family_essential', 'educated_parents_essential', 'having_ambition_essential', 'political_influence_essential', 'good_education_essential', 'hard_work_essential', 'talent_essential', 'connections_essential', 'luck_essential', 'companies_should_decrease_ineq', 'govt_should_decrease_ineq', 'who_most_responsible', 'progressive_taxes_effective', 'educ_policies_effective', 'private_charity_effective', 'govt_regulation_effective', 'govt_transfers_effective']",DS,EO,LHW,ED_Reverse,ISP_Reverse,GT,GMC_Reverse,Demographics_End,Parents_End,Coronavirus_Reverse,Government|Private charities|High income individuals themselves|Low income individuals themselves|Major companies|Income differences do not need to be reduced,Republican|Democrat|Independent|None
2698,corona_natural_ineq,Covid19,3.0,4.0,5.0,5.0,4.0,3.0,3.0,5.0,2.0,2.0,1.0,6.0,5.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,2.0,1,Nebraska,2,31,0,1,1,10,6,1,Registered nurse ,7.0,3.0,1.0,1.0,2.0,2.0,1.0,4.0,3.0,Labor,Stay at home mom ,3,3,2.0,1.0,5.0,1.0,3.0,2.0,2.0,0,0,0,0,0,0,0,1,Everyday I work I am at risk of contracting the virus and possible exposing my family ,5.0,"['educ_policies_effective', 'private_charity_effective', 'progressive_taxes_effective', 'govt_transfers_effective', 'govt_regulation_effective', 'companies_should_decrease_ineq', 'govt_should_decrease_ineq', 'who_most_responsible', 'unequal_hcare_serious_problem', 'poverty_serious_problem', 'ineq_serious_problem', 'ineq_increasing', 'people_poor_because_laziness', 'hard_work_brings_better_life', '', 'educated_parents_essential', 'having_ambition_essential', 'good_education_essential', 'wealthy_family_essential', 'talent_essential', 'hard_work_essential', 'political_influence_essential', 'connections_essential', 'luck_essential', 'high_earners_deserve_high', 'low_earners_deserve_low', 'enough_opportunities', 'more_opportunities_than_parents']",DS,EO,LHW_Reverse,ED_Reverse,ISP_Reverse,GT,GMC_Reverse,Demographics_End_Reverse,Parents_End_Reverse,Coronavirus,Government|High income individuals themselves|Private charities|Major companies|Low income individuals themselves|Income differences do not need to be reduced,Republican|Democrat|Independent|None
2699,corona_natural_ineq,"The virus does not effect everyone the same way. The elderly, especially those with heart problems, lung problems and diabetes, will get a lot sicker and it could be fatal for them",3.0,2.0,4.0,4.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,5.0,5.0,3.0,3.0,2.0,5.0,4.0,2.0,3.0,3.0,2.0,4.0,3.0,2.0,3.0,2.0,1,Utah,2,66,0,1,1,3,4,1,"CSR for the ""affordable care act"", but I'm out on disability",7.0,3.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,"Program Bureau chairman for Brigham Young University, also, he was their spots announcer.",She sometimes worked as a travel agent,4,5,2.0,4.0,5.0,2.0,3.0,2.0,4.0,0,0,0,1,1,0,0,0,,2.0,"['high_earners_deserve_high', 'low_earners_deserve_low', 'people_poor_because_laziness', 'hard_work_brings_better_life', 'poverty_serious_problem', 'ineq_serious_problem', 'unequal_hcare_serious_problem', 'ineq_increasing', '', 'wealthy_family_essential', 'political_influence_essential', 'educated_parents_essential', 'luck_essential', 'good_education_essential', 'having_ambition_essential', 'talent_essential', 'connections_essential', 'hard_work_essential', 'enough_opportunities', 'more_opportunities_than_parents', 'govt_regulation_effective', 'educ_policies_effective', 'govt_transfers_effective', 'progressive_taxes_effective', 'private_charity_effective', 'govt_should_decrease_ineq', 'companies_should_decrease_ineq', 'who_most_responsible']",DS,EO,LHW_Reverse,ED_Reverse,ISP_Reverse,GT_Reverse,GMC_Reverse,Demographics_End,Parents_End,Coronavirus_Reverse,Low income individuals themselves|Government|Major companies|Private charities|High income individuals themselves|Income differences do not need to be reduced,Democrat|Republican|Independent|None
2700,corona_control,COVID-19 has spread to almost every country.,1.0,1.0,5.0,5.0,4.0,2.0,2.0,4.0,2.0,3.0,2.0,6.0,6.0,3.0,3.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,4.0,5.0,1,Florida,2,59,0,1,1,1,4,1,scheduler/admin asst,9.0,3.0,1.0,4.0,3.0,2.0,1.0,4.0,2.0,driver,cook,3,1,3.0,5.0,3.0,4.0,3.0,3.0,4.0,0,0,0,1,0,1,0,0,,5.0,"['govt_should_decrease_ineq', 'companies_should_decrease_ineq', 'who_most_responsible', 'progressive_taxes_effective', 'govt_transfers_effective', 'educ_policies_effective', 'govt_regulation_effective', 'private_charity_effective', 'ineq_serious_problem', 'poverty_serious_problem', 'unequal_hcare_serious_problem', 'ineq_increasing', '', 'connections_essential', 'having_ambition_essential', 'luck_essential', 'political_influence_essential', 'educated_parents_essential', 'wealthy_family_essential', 'talent_essential', 'good_education_essential', 'hard_work_essential', 'more_opportunities_than_parents', 'enough_opportunities', 'hard_work_brings_better_life', 'people_poor_because_laziness', 'low_earners_deserve_low', 'high_earners_deserve_high']",DS_Reverse,EO,LHW,ED_Reverse,ISP_Reverse,GT,GMC,Demographics_End_Reverse,Parents_End_Reverse,Coronavirus_Reverse,Low income individuals themselves|Major companies|High income individuals themselves|Government|Private charities|Income differences do not need to be reduced,Republican|Democrat|Independent|None
2701,corona_class_ineq,Coronavirus  in poor neighborhoods ,5.0,3.0,4.0,5.0,4.0,3.0,5.0,5.0,3.0,3.0,3.0,6.0,4.0,4.0,2.0,3.0,4.0,3.0,2.0,3.0,3.0,2.0,4.0,3.0,6.0,6.0,2.0,1,New York,1,47,1,1,3,2,3,3,Transportation ,8.0,3.0,1.0,4.0,3.0,2.0,2.0,5.0,2.0,Farmer,Housewife ,2,2,2.0,4.0,5.0,2.0,3.0,3.0,3.0,0,0,0,0,1,0,0,0,,2.0,"['govt_transfers_effective', 'educ_policies_effective', 'private_charity_effective', 'govt_regulation_effective', 'progressive_taxes_effective', 'companies_should_decrease_ineq', 'govt_should_decrease_ineq', 'who_most_responsible', 'high_earners_deserve_high', 'low_earners_deserve_low', 'more_opportunities_than_parents', 'enough_opportunities', 'unequal_hcare_serious_problem', 'poverty_serious_problem', 'ineq_serious_problem', 'ineq_increasing', '', 'educated_parents_essential', 'having_ambition_essential', 'connections_essential', 'good_education_essential', 'talent_essential', 'luck_essential', 'political_influence_essential', 'hard_work_essential', 'wealthy_family_essential', 'people_poor_because_laziness', 'hard_work_brings_better_life']",DS_Reverse,EO_Reverse,LHW,ED,ISP,GT,GMC_Reverse,Demographics_End,Parents_End,Coronavirus_Reverse,Government|Private charities|Low income individuals themselves|Major companies|High income individuals themselves|Income differences do not need to be reduced,Republican|Democrat|Independent|None
2702,corona_class_ineq,Not all groups of people are affected the same by the Corona Virus.,2.0,4.0,5.0,5.0,5.0,2.0,2.0,5.0,2.0,3.0,3.0,7.0,7.0,3.0,3.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1,Virginia,1,59,0,0,1,2,5,3,Owner ,5.0,3.0,2.0,4.0,4.0,1.0,1.0,5.0,1.0,Deputy Sheriff ,Homemaker ,2,3,2.0,4.0,2.0,1.0,3.0,1.0,4.0,0,0,1,0,0,0,0,0,,4.0,"['unequal_hcare_serious_problem', 'poverty_serious_problem', 'ineq_serious_problem', 'ineq_increasing', 'low_earners_deserve_low', 'high_earners_deserve_high', 'enough_opportunities', 'more_opportunities_than_parents', 'hard_work_brings_better_life', 'people_poor_because_laziness', '', 'talent_essential', 'having_ambition_essential', 'connections_essential', 'hard_work_essential', 'educated_parents_essential', 'good_education_essential', 'political_influence_essential', 'luck_essential', 'wealthy_family_essential', 'educ_policies_effective', 'govt_regulation_effective', 'progressive_taxes_effective', 'govt_transfers_effective', 'private_charity_effective', 'companies_should_decrease_ineq', 'govt_should_decrease_ineq', 'who_most_responsible']",DS,EO_Reverse,LHW_Reverse,ED_Reverse,ISP_Reverse,GT,GMC_Reverse,Demographics_End_Reverse,Parents_End,Coronavirus,Low income individuals themselves|Private charities|High income individuals themselves|Major companies|Government|Income differences do not need to be reduced,Democrat|Republican|Independent|None
2708,corona_class_ineq,About civid 19,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,1.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,6.0,1,Virginia,2,40,1,1,4,7,7,2,Teacher,8.0,3.0,1.0,4.0,4.0,3.0,3.0,5.0,3.0,Cole mines,Hiuse wife,2,1,3.0,3.0,4.0,3.0,4.0,4.0,4.0,0,0,1,1,0,0,0,0,,0.0,"['more_opportunities_than_parents', 'enough_opportunities', 'poverty_serious_problem', 'ineq_serious_problem', 'unequal_hcare_serious_problem', 'ineq_increasing', '', 'wealthy_family_essential', 'political_influence_essential', 'luck_essential', 'educated_parents_essential', 'talent_essential', 'connections_essential', 'hard_work_essential', 'having_ambition_essential', 'good_education_essential', 'high_earners_deserve_high', 'low_earners_deserve_low', 'hard_work_brings_better_life', 'people_poor_because_laziness', 'govt_should_decrease_ineq', 'companies_should_decrease_ineq', 'who_most_responsible', 'govt_transfers_effective', 'educ_policies_effective', 'progressive_taxes_effective', 'govt_regulation_effective', 'private_charity_effective']",DS,EO,LHW,ED,ISP,GT,GMC_Reverse,Demographics_End,Parents_End_Reverse,Coronavirus,High income individuals themselves|Private charities|Low income individuals themselves|Government|Major companies|Income differences do not need to be reduced,Democrat|Republican|Independent|None
2710,corona_class_ineq,IT WAS BASICALLY TALKING ABOUT THE MINORITIES BEING ABLE TO CATCH THE VIRUS EASIER.,2.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,3.0,3.0,7.0,4.0,3.0,3.0,4.0,5.0,5.0,2.0,5.0,5.0,4.0,4.0,5.0,5.0,1.0,5.0,1,Florida,1,30,0,0,1,2,4,6,CARETAKER,5.0,2.0,1.0,3.0,5.0,5.0,2.0,5.0,3.0,GENERAL FOREMAN,PARALEGAL,3,3,4.0,5.0,5.0,1.0,2.0,1.0,3.0,0,0,0,1,0,0,1,0,,2.0,"['companies_should_decrease_ineq', 'govt_should_decrease_ineq', 'who_most_responsible', 'progressive_taxes_effective', 'govt_transfers_effective', 'govt_regulation_effective', 'educ_policies_effective', 'private_charity_effective', 'ineq_serious_problem', 'poverty_serious_problem', 'unequal_hcare_serious_problem', 'ineq_increasing', '', 'talent_essential', 'hard_work_essential', 'educated_parents_essential', 'luck_essential', 'wealthy_family_essential', 'political_influence_essential', 'good_education_essential', 'connections_essential', 'having_ambition_essential', 'hard_work_brings_better_life', 'people_poor_because_laziness', 'high_earners_deserve_high', 'low_earners_deserve_low', 'more_opportunities_than_parents', 'enough_opportunities']",DS,EO,LHW,ED_Reverse,ISP_Reverse,GT_Reverse,GMC,Demographics_End,Parents_End,Coronavirus_Reverse,High income individuals themselves|Major companies|Low income individuals themselves|Private charities|Government|Income differences do not need to be reduced,Democrat|Republican|Independent|None
2712,corona_class_ineq,brief discreption of the covid19 pandemic,4.0,5.0,4.0,3.0,4.0,5.0,5.0,4.0,5.0,2.0,3.0,6.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,5.0,5.0,1,Illinois,1,42,1,1,1,1,7,1,general manager at it company,9.0,3.0,1.0,3.0,4.0,3.0,1.0,4.0,3.0,grossary manager,housewife,4,3,2.0,3.0,5.0,5.0,3.0,3.0,3.0,0,0,1,0,0,0,0,0,,1.0,"['govt_should_decrease_ineq', 'companies_should_decrease_ineq', 'who_most_responsible', 'govt_regulation_effective', 'private_charity_effective', 'educ_policies_effective', 'govt_transfers_effective', 'progressive_taxes_effective', 'high_earners_deserve_high', 'low_earners_deserve_low', 'ineq_serious_problem', 'unequal_hcare_serious_problem', 'poverty_serious_problem', 'ineq_increasing', 'more_opportunities_than_parents', 'enough_opportunities', '', 'having_ambition_essential', 'luck_essential', 'wealthy_family_essential', 'political_influence_essential', 'connections_essential', 'good_education_essential', 'hard_work_essential', 'talent_essential', 'educated_parents_essential', 'hard_work_brings_better_life', 'people_poor_because_laziness']",DS,EO,LHW_Reverse,ED_Reverse,ISP_Reverse,GT_Reverse,GMC_Reverse,Demographics_End,Parents_End_Reverse,Coronavirus,High income individuals themselves|Major companies|Low income individuals themselves|Government|Private charities|Income differences do not need to be reduced,Democrat|Republican|Independent|None
2713,corona_control,How the coronavirus spread through the world.,1.0,4.0,4.0,5.0,3.0,2.0,4.0,3.0,3.0,1.0,1.0,6.0,5.0,3.0,2.0,4.0,4.0,5.0,3.0,3.0,2.0,3.0,2.0,2.0,6.0,6.0,6.0,1,Kansas,2,38,0,1,1,10,6,1,Education,3.0,2.0,1.0,4.0,5.0,1.0,1.0,3.0,2.0,Oil Field,office work,3,4,4.0,2.0,4.0,2.0,5.0,5.0,2.0,0,0,0,0,0,0,1,0,,7.0,"['hard_work_brings_better_life', 'people_poor_because_laziness', 'more_opportunities_than_parents', 'enough_opportunities', 'poverty_serious_problem', 'ineq_serious_problem', 'unequal_hcare_serious_problem', 'ineq_increasing', '', 'political_influence_essential', 'having_ambition_essential', 'hard_work_essential', 'connections_essential', 'wealthy_family_essential', 'good_education_essential', 'talent_essential', 'educated_parents_essential', 'luck_essential', 'high_earners_deserve_high', 'low_earners_deserve_low', 'companies_should_decrease_ineq', 'govt_should_decrease_ineq', 'who_most_responsible', 'govt_transfers_effective', 'govt_regulation_effective', 'educ_policies_effective', 'private_charity_effective', 'progressive_taxes_effective']",DS,EO_Reverse,LHW,ED,ISP_Reverse,GT_Reverse,GMC_Reverse,Demographics_End,Parents_End_Reverse,Coronavirus_Reverse,Government|Low income individuals themselves|High income individuals themselves|Major companies|Private charities|Income differences do not need to be reduced,Republican|Democrat|Independent|None
2715,corona_class_ineq,How covid19 effects low income black and hispanic.,4.0,5.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0,2.0,3.0,5.0,4.0,2.0,3.0,5.0,5.0,5.0,3.0,1.0,1.0,2.0,4.0,3.0,4.0,4.0,6.0,1,Virginia,2,65,0,0,1,4,3,6,Retired,5.0,1.0,1.0,2.0,3.0,3.0,2.0,5.0,3.0,Carpenter,Telephone operator,2,3,1.0,4.0,5.0,1.0,3.0,4.0,2.0,0,0,0,0,0,0,0,0,,3.0,"['high_earners_deserve_high', 'low_earners_deserve_low', '', 'wealthy_family_essential', 'good_education_essential', 'hard_work_essential', 'connections_essential', 'luck_essential', 'educated_parents_essential', 'political_influence_essential', 'talent_essential', 'having_ambition_essential', 'unequal_hcare_serious_problem', 'poverty_serious_problem', 'ineq_serious_problem', 'ineq_increasing', 'hard_work_brings_better_life', 'people_poor_because_laziness', 'enough_opportunities', 'more_opportunities_than_parents', 'educ_policies_effective', 'private_charity_effective', 'govt_transfers_effective', 'govt_regulation_effective', 'progressive_taxes_effective', 'govt_should_decrease_ineq', 'companies_should_decrease_ineq', 'who_most_responsible']",DS_Reverse,EO_Reverse,LHW_Reverse,ED,ISP_Reverse,GT_Reverse,GMC_Reverse,Demographics_End,Parents_End_Reverse,Coronavirus_Reverse,Low income individuals themselves|High income individuals themselves|Private charities|Government|Major companies|Income differences do not need to be reduced,Democrat|Republican|Independent|None
2716,corona_control,The outbreak of the Coronavirus.,3.0,3.0,4.0,4.0,3.0,2.0,3.0,4.0,2.0,3.0,3.0,6.0,5.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,2.0,4.0,2.0,2.0,4.0,5.0,1,Florida,1,67,1,0,1,2,5,6,Retired,8.0,3.0,1.0,4.0,2.0,2.0,2.0,5.0,2.0,Draftsman,Nursery school teacher,3,3,3.0,2.0,4.0,2.0,4.0,4.0,2.0,0,0,0,0,1,0,0,0,,2.0,"['govt_regulation_effective', 'govt_transfers_effective', 'private_charity_effective', 'progressive_taxes_effective', 'educ_policies_effective', 'companies_should_decrease_ineq', 'govt_should_decrease_ineq', 'who_most_responsible', 'poverty_serious_problem', 'ineq_serious_problem', 'unequal_hcare_serious_problem', 'ineq_increasing', '', 'good_education_essential', 'talent_essential', 'luck_essential', 'connections_essential', 'wealthy_family_essential', 'educated_parents_essential', 'hard_work_essential', 'having_ambition_essential', 'political_influence_essential', 'more_opportunities_than_parents', 'enough_opportunities', 'people_poor_because_laziness', 'hard_work_brings_better_life', 'high_earners_deserve_high', 'low_earners_deserve_low']",DS,EO_Reverse,LHW,ED,ISP_Reverse,GT,GMC,Demographics_End_Reverse,Parents_End,Coronavirus,Major companies|Low income individuals themselves|Government|High income individuals themselves|Private charities|Income differences do not need to be reduced,Republican|Democrat|Independent|None
2717,corona_natural_ineq,the spread of the germs is hitting older people,2.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,5.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,6.0,6.0,2.0,1,Vermont,1,57,1,0,1,1,3,6,disabled,1.0,1.0,1.0,4.0,4.0,2.0,2.0,5.0,3.0,saw mill,house keeper,2,3,2.0,3.0,4.0,2.0,4.0,5.0,2.0,0,0,0,0,0,0,1,0,,3.0,"['people_poor_because_laziness', 'hard_work_brings_better_life', 'enough_opportunities', 'more_opportunities_than_parents', 'unequal_hcare_serious_problem', 'poverty_serious_problem', 'ineq_serious_problem', 'ineq_increasing', '', 'good_education_essential', 'hard_work_essential', 'connections_essential', 'educated_parents_essential', 'political_influence_essential', 'talent_essential', 'having_ambition_essential', 'luck_essential', 'wealthy_family_essential', 'high_earners_deserve_high', 'low_earners_deserve_low', 'govt_should_decrease_ineq', 'companies_should_decrease_ineq', 'who_most_responsible', 'govt_transfers_effective', 'progressive_taxes_effective', 'govt_regulation_effective', 'educ_policies_effective', 'private_charity_effective']",DS_Reverse,EO_Reverse,LHW,ED_Reverse,ISP,GT_Reverse,GMC_Reverse,Demographics_End_Reverse,Parents_End,Coronavirus_Reverse,Private charities|Government|Low income individuals themselves|Major companies|High income individuals themselves|Income differences do not need to be reduced,Democrat|Republican|Independent|None
